Disease,Symptoms,Precaution_1,Precaution_2,Precaution_3,Precaution_4,,Disease and Description,Description,Symptoms,General Explanation,Medical Explanation
(vertigo) paroymsal  positional vertigo,"vomiting,headache,spinning movements,loss of balance,unsteadiness",lie down,avoid sudden change in body,avoid abrupt head movment,relax,,,,,,
(vertigo) paroymsal  positional vertigo,"vomiting,headache,nausea,loss of balance,unsteadiness",lie down,avoid sudden change in body,avoid abrupt head movment,relax,,,,,,
(vertigo) paroymsal  positional vertigo,"vomiting,headache,nausea,spinning movements,unsteadiness",lie down,avoid sudden change in body,avoid abrupt head movment,relax,,,,,,
(vertigo) paroymsal  positional vertigo,"vomiting,headache,nausea,spinning movements,loss of balance",lie down,avoid sudden change in body,avoid abrupt head movment,relax,,,,,,
(vertigo) paroymsal  positional vertigo,"vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness",lie down,avoid sudden change in body,avoid abrupt head movment,relax,,,,,,
(vertigo) paroymsal  positional vertigo,"vomiting,headache,nausea,loss of balance,unsteadiness",lie down,avoid sudden change in body,avoid abrupt head movment,relax,,,,,,
acne,"skin rash,pus filled pimples,blackheads,scurring",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,,,,,,
acne,"skin rash,pus filled pimples,blackheads,scurring",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,,,,,,
acne,"pus filled pimples,blackheads,scurring",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,,,,,,
acne,"skin rash,blackheads,scurring",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,,,,,,
acne,"skin rash,pus filled pimples,scurring",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,,,,,,
acne,"skin rash,pus filled pimples,blackheads",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,,,,,,
acne,"skin rash,pus filled pimples,blackheads,scurring",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,,,,,,
acne,"skin rash,pus filled pimples,blackheads",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,,,,,,
acne,"skin rash,pus filled pimples,scurring",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,,,,,,
acne,"skin rash,blackheads,scurring",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,,,,,,
urinary tract infection,"burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,,,,,,
urinary tract infection,"burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,,,,,,
urinary tract infection,"bladder discomfort,foul smell of urine,continuous feel of urine",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,,,,,,
urinary tract infection,"burning micturition,foul smell of urine,continuous feel of urine",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,,,,,,
urinary tract infection,"burning micturition,bladder discomfort,continuous feel of urine",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,,,,,,
urinary tract infection,"burning micturition,bladder discomfort,foul smell of urine",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,,,,,,
urinary tract infection,"burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,,,,,,
urinary tract infection,"burning micturition,bladder discomfort,continuous feel of urine",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,,,,,,
urinary tract infection,"bladder discomfort,foul smell of urine,continuous feel of urine",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,,,,,,
urinary tract infection,"burning micturition,bladder discomfort,continuous feel of urine",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,,,,,,
psoriasis,"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,,,,,,
psoriasis,"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,,,,,,
psoriasis,"joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,,,,,,
psoriasis,"skin rash,skin peeling,silver like dusting,small dents in nails,inflammatory nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,,,,,,
psoriasis,"skin rash,joint pain,silver like dusting,small dents in nails,inflammatory nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,,,,,,
psoriasis,"skin rash,joint pain,skin peeling,small dents in nails,inflammatory nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,,,,,,
psoriasis,"skin rash,joint pain,skin peeling,silver like dusting,inflammatory nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,,,,,,
psoriasis,"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,,,,,,
psoriasis,"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,,,,,,
psoriasis,"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,,,,,,
impetigo,"skin rash,high fever,blister,red sore around nose,yellow crust ooze",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,,,,,,
impetigo,"skin rash,high fever,blister,red sore around nose,yellow crust ooze",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,,,,,,
impetigo,"high fever,blister,red sore around nose,yellow crust ooze",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,,,,,,
impetigo,"skin rash,blister,red sore around nose,yellow crust ooze",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,,,,,,
impetigo,"skin rash,blister,red sore around nose,yellow crust ooze",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,,,,,,
impetigo,"skin rash,high fever,red sore around nose,yellow crust ooze",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,,,,,,
impetigo,"skin rash,high fever,blister,yellow crust ooze",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,,,,,,
impetigo,"skin rash,high fever,blister,red sore around nose",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,,,,,,
impetigo,"skin rash,high fever,blister,red sore around nose,yellow crust ooze",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,,,,,,
impetigo,"skin rash,blister,red sore around nose,yellow crust ooze",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,,,,,,
fungal infection,"itching,skin rash,nodal skin eruptions,dischromic  patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,,,,,,
fungal infection,"skin rash,nodal skin eruptions,dischromic  patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,,,,,,
fungal infection,"itching,nodal skin eruptions,dischromic  patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,,,,,,
fungal infection,"itching,skin rash,dischromic  patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,,,,,,
fungal infection,"itching,skin rash,nodal skin eruptions",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,,,,,,
fungal infection,"skin rash,nodal skin eruptions,dischromic  patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,,,,,,
fungal infection,"itching,nodal skin eruptions,dischromic  patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,,,,,,
fungal infection,"itching,skin rash,dischromic  patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,,,,,,
fungal infection,"itching,skin rash,nodal skin eruptions",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,,,,,,
fungal infection,"itching,skin rash,nodal skin eruptions,dischromic  patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,,,,,,
allergy,"continuous sneezing,shivering,chills,watering from eyes",apply calamine,cover area with bandage,,use ice to compress itching,,,,,,
allergy,"shivering,chills,watering from eyes",apply calamine,cover area with bandage,,use ice to compress itching,,,,,,
allergy,"continuous sneezing,chills,watering from eyes",apply calamine,cover area with bandage,,use ice to compress itching,,,,,,
allergy,"continuous sneezing,shivering,watering from eyes",apply calamine,cover area with bandage,,use ice to compress itching,,,,,,
allergy,"continuous sneezing,shivering,chills",apply calamine,cover area with bandage,,use ice to compress itching,,,,,,
allergy,"shivering,chills,watering from eyes",apply calamine,cover area with bandage,,use ice to compress itching,,,,,,
allergy,"continuous sneezing,chills,watering from eyes",apply calamine,cover area with bandage,,use ice to compress itching,,,,,,
allergy,"continuous sneezing,shivering,watering from eyes",apply calamine,cover area with bandage,,use ice to compress itching,,,,,,
allergy,"continuous sneezing,shivering,chills",apply calamine,cover area with bandage,,use ice to compress itching,,,,,,
allergy,"continuous sneezing,shivering,chills,watering from eyes",apply calamine,cover area with bandage,,use ice to compress itching,,,,,,
gerd,"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,,,,,,
gerd,"stomach pain,ulcers on tongue,vomiting,cough,chest pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,,,,,,
gerd,"stomach pain,acidity,vomiting,cough,chest pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,,,,,,
gerd,"stomach pain,acidity,ulcers on tongue,cough,chest pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,,,,,,
gerd,"stomach pain,acidity,ulcers on tongue,vomiting,chest pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,,,,,,
gerd,"stomach pain,acidity,ulcers on tongue,vomiting,cough",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,,,,,,
gerd,"acidity,ulcers on tongue,vomiting,cough,chest pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,,,,,,
gerd,"stomach pain,ulcers on tongue,vomiting,cough,chest pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,,,,,,
gerd,"stomach pain,acidity,vomiting,cough,chest pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,,,,,,
gerd,"stomach pain,acidity,ulcers on tongue,cough,chest pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,,,,,,
chronic cholestasis,"itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",cold baths,anti itch medicine,consult doctor,eat healthy,,,,,,
chronic cholestasis,"vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",cold baths,anti itch medicine,consult doctor,eat healthy,,,,,,
chronic cholestasis,"itching,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",cold baths,anti itch medicine,consult doctor,eat healthy,,,,,,
chronic cholestasis,"itching,vomiting,nausea,loss of appetite,abdominal pain,yellowing of eyes",cold baths,anti itch medicine,consult doctor,eat healthy,,,,,,
chronic cholestasis,"itching,vomiting,yellowish skin,loss of appetite,abdominal pain,yellowing of eyes",cold baths,anti itch medicine,consult doctor,eat healthy,,,,,,
chronic cholestasis,"itching,vomiting,yellowish skin,nausea,abdominal pain,yellowing of eyes",cold baths,anti itch medicine,consult doctor,eat healthy,,,,,,
chronic cholestasis,"itching,vomiting,yellowish skin,nausea,loss of appetite,yellowing of eyes",cold baths,anti itch medicine,consult doctor,eat healthy,,,,,,
chronic cholestasis,"itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain",cold baths,anti itch medicine,consult doctor,eat healthy,,,,,,
chronic cholestasis,"itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",cold baths,anti itch medicine,consult doctor,eat healthy,,,,,,
chronic cholestasis,"itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",cold baths,anti itch medicine,consult doctor,eat healthy,,,,,,
